Frame,Resolution,Objects,Time
0,384x640,"15 persons, 2 potted plants,",272.4
0,384x640,"15 persons, 2 potted plants,",262.9
0,384x640,"15 persons, 2 potted plants,",267.1
0,384x640,"15 persons, 2 potted plants,",274.2
0,384x640,"15 persons, 2 potted plants,",256.9
0,384x640,"15 persons, 2 potted plants,",264.4
0,384x640,"15 persons, 2 potted plants,",269.6
0,384x640,"15 persons, 2 potted plants,",333.6
0,384x640,"20 persons, 2 potted plants,",410.9
0,384x640,"15 persons, 2 potted plants,",457.2
0,384x640,"18 persons, 1 potted plant,",446.2
0,384x640,"13 persons,",399.9
0,384x640,"16 persons,",419.7
0,384x640,"17 persons,",440.5
0,384x640,"17 persons,",422.4
0,384x640,"15 persons,",417.7
0,384x640,"15 persons,",414.7
0,384x640,"18 persons,",422.1
0,384x640,"18 persons,",403.5
0,384x640,"15 persons, 1 potted plant,",391.9
0,384x640,"15 persons, 1 potted plant,",442.9
0,384x640,"15 persons, 1 potted plant,",440.7
0,384x640,"16 persons,",419.5
0,384x640,"17 persons,",446.6
0,384x640,"14 persons,",423.4
0,384x640,"15 persons,",390.7
0,384x640,"17 persons,",276.5
0,384x640,"15 persons,",276.3
0,384x640,"15 persons, 1 potted plant,",267.4
0,384x640,"17 persons, 1 potted plant,",281.3
0,384x640,"13 persons,",266.6
0,384x640,"13 persons,",274.3
0,384x640,"21 persons,",276.1
0,384x640,"18 persons,",271.2
0,384x640,"18 persons,",272.2
0,384x640,"16 persons,",263.0
0,384x640,"18 persons,",280.8
0,384x640,"13 persons,",277.8
0,384x640,"14 persons,",282.9
0,384x640,"16 persons,",281.3
0,384x640,"15 persons,",268.1
0,384x640,"18 persons,",262.5
0,384x640,"18 persons,",271.8
0,384x640,"17 persons, 1 potted plant,",285.6
0,384x640,"18 persons, 2 potted plants,",273.7
0,384x640,"18 persons, 2 potted plants,",275.9
0,384x640,"21 persons, 2 potted plants,",287.7
0,384x640,"21 persons, 3 potted plants,",269.8
0,384x640,"18 persons, 2 potted plants,",271.0
0,384x640,"19 persons, 2 potted plants,",277.1
0,384x640,"18 persons,",274.2
0,384x640,"19 persons,",269.9
0,384x640,"22 persons, 1 bench,",270.3
0,384x640,"22 persons, 1 bench,",297.3
0,384x640,"17 persons,",283.7
0,384x640,"15 persons,",277.8
0,384x640,"18 persons, 2 potted plants,",277.1
0,384x640,"18 persons, 2 potted plants,",280.6
0,384x640,"16 persons, 1 potted plant,",268.0
0,384x640,"14 persons, 1 potted plant,",409.7
0,384x640,"18 persons,",428.5
0,384x640,"19 persons, 1 stop sign,",459.7
0,384x640,"14 persons, 2 potted plants,",423.6
0,384x640,"19 persons, 1 potted plant,",423.7
0,384x640,"17 persons,",482.7
0,384x640,"20 persons, 1 potted plant,",453.6
0,384x640,"14 persons, 1 potted plant,",414.1
0,384x640,"18 persons,",432.8
0,384x640,"15 persons,",458.5
0,384x640,"13 persons,",409.0
0,384x640,"14 persons,",445.1
0,384x640,"19 persons, 1 skateboard, 1 potted plant,",450.5
0,384x640,"19 persons,",416.8
0,384x640,"19 persons,",420.4
0,384x640,"19 persons,",410.1
0,384x640,"19 persons,",403.6
0,384x640,"19 persons,",329.1
0,384x640,"19 persons,",281.8
0,384x640,"18 persons,",280.1
0,384x640,"19 persons,",273.2
0,384x640,"18 persons, 1 umbrella,",277.7
0,384x640,"20 persons,",264.1
0,384x640,"17 persons, 1 potted plant,",280.1
0,384x640,"21 persons, 1 bench,",269.1
0,384x640,"20 persons, 1 bench,",272.7
0,384x640,"19 persons,",286.3
0,384x640,"18 persons,",270.3
0,384x640,"18 persons,",268.3
0,384x640,"19 persons,",265.6
0,384x640,"19 persons,",266.6
0,384x640,"16 persons,",276.6
0,384x640,"15 persons,",271.9
0,384x640,"15 persons,",266.6
0,384x640,"15 persons,",271.2
0,384x640,"16 persons,",269.9
0,384x640,"11 persons,",272.1
0,384x640,"19 persons,",270.4
0,384x640,"18 persons,",275.6
0,384x640,"20 persons,",274.9
0,384x640,"20 persons,",277.4
0,384x640,"20 persons,",266.9
0,384x640,"20 persons,",266.4
0,384x640,"20 persons,",280.0
0,384x640,"15 persons, 1 potted plant,",266.3
0,384x640,"15 persons, 1 potted plant,",268.0
0,384x640,"17 persons, 1 potted plant,",270.9
0,384x640,"16 persons,",277.1
0,384x640,"21 persons, 1 potted plant,",278.3
0,384x640,"17 persons, 1 potted plant,",265.0
0,384x640,"16 persons, 1 horse, 1 potted plant,",275.3
0,384x640,"18 persons, 1 potted plant,",387.4
0,384x640,"16 persons,",418.3
0,384x640,"20 persons,",462.6
0,384x640,"17 persons,",416.6
0,384x640,"19 persons,",398.3
0,384x640,"22 persons,",453.3
0,384x640,"19 persons, 1 potted plant,",490.5
0,384x640,"22 persons,",410.5
0,384x640,"18 persons, 1 car,",431.7
0,384x640,"16 persons, 1 potted plant,",437.7
0,384x640,"19 persons, 1 potted plant,",408.5
0,384x640,"20 persons, 1 potted plant,",428.5
0,384x640,"22 persons,",437.7
0,384x640,"20 persons,",415.7
0,384x640,"20 persons,",427.9
0,384x640,"18 persons,",435.5
0,384x640,"19 persons,",515.2
0,384x640,"15 persons,",562.3
0,384x640,"17 persons,",283.4
0,384x640,"21 persons,",276.9
0,384x640,"15 persons,",291.0
0,384x640,"16 persons,",267.7
0,384x640,"16 persons,",273.6
0,384x640,"18 persons, 1 potted plant,",271.6
0,384x640,"18 persons, 1 potted plant,",273.2
0,384x640,"19 persons,",261.4
0,384x640,"19 persons,",278.2
0,384x640,"16 persons,",286.9
0,384x640,"23 persons,",268.5
0,384x640,"19 persons,",269.6
0,384x640,"18 persons,",291.7
0,384x640,"19 persons,",277.7
0,384x640,"16 persons, 1 potted plant,",274.4
0,384x640,"16 persons,",263.7
0,384x640,"16 persons,",281.6
0,384x640,"24 persons, 1 potted plant,",277.3
0,384x640,"20 persons, 1 bicycle, 1 potted plant,",272.9
0,384x640,"17 persons, 1 potted plant,",273.7
0,384x640,"18 persons, 2 potted plants,",270.8
0,384x640,"17 persons, 1 potted plant,",265.8
0,384x640,"15 persons,",266.3
0,384x640,"15 persons,",274.3
0,384x640,"15 persons,",267.1
0,384x640,"15 persons,",265.1
0,384x640,"15 persons,",275.5
0,384x640,"15 persons,",261.9
0,384x640,"15 persons,",261.1
0,384x640,"15 persons,",286.6
0,384x640,"20 persons, 1 potted plant,",282.6
0,384x640,"10 persons,",278.9
0,384x640,"16 persons, 2 potted plants,",269.2
0,384x640,"16 persons, 2 potted plants,",344.8
0,384x640,"18 persons, 2 potted plants,",405.5
0,384x640,"17 persons,",418.6
0,384x640,"18 persons,",432.6
0,384x640,"15 persons, 1 potted plant,",421.9
0,384x640,"18 persons,",425.0
0,384x640,"17 persons,",471.0
0,384x640,"18 persons, 2 potted plants,",420.0
0,384x640,"15 persons,",416.4
0,384x640,"14 persons,",442.0
0,384x640,"15 persons,",402.1
0,384x640,"17 persons,",381.1
0,384x640,"20 persons,",415.5
0,384x640,"17 persons, 1 bench,",406.5
0,384x640,"17 persons, 1 bench,",435.8
0,384x640,"17 persons, 1 bicycle,",423.3
0,384x640,"18 persons, 2 potted plants,",451.4
0,384x640,"11 persons, 2 potted plants,",408.4
0,384x640,"16 persons, 2 potted plants,",368.6
0,384x640,"16 persons, 1 potted plant,",284.1
0,384x640,"15 persons,",267.2
0,384x640,"14 persons,",263.6
0,384x640,"13 persons,",282.1
0,384x640,"13 persons, 2 bicycles,",270.2
0,384x640,"14 persons, 2 bicycles,",266.3
0,384x640,"12 persons, 2 bicycles,",267.9
0,384x640,"15 persons, 1 bicycle, 1 potted plant,",277.1
0,384x640,"12 persons, 2 bicycles, 1 potted plant,",269.6
0,384x640,"16 persons, 2 bicycles, 1 potted plant,",262.9
0,384x640,"16 persons, 2 potted plants,",287.5
0,384x640,"19 persons, 2 potted plants,",268.0
0,384x640,"21 persons, 2 potted plants,",271.9
0,384x640,"15 persons, 1 potted plant,",271.1
0,384x640,"15 persons, 1 potted plant,",273.8
0,384x640,"13 persons, 1 potted plant,",271.4
0,384x640,"15 persons, 1 potted plant,",269.9
0,384x640,"14 persons, 2 potted plants,",280.7
0,384x640,"16 persons, 2 potted plants,",272.8
0,384x640,"13 persons, 2 potted plants,",273.6
0,384x640,"13 persons, 1 potted plant,",277.1
0,384x640,"17 persons, 2 potted plants,",271.1
0,384x640,"19 persons, 2 potted plants,",270.7
0,384x640,"17 persons, 2 potted plants,",272.8
0,384x640,"15 persons, 2 potted plants,",273.7
0,384x640,"16 persons, 2 potted plants,",280.0
0,384x640,"16 persons, 1 horse, 3 potted plants,",257.4
0,384x640,"16 persons, 1 horse, 3 potted plants,",279.3
0,384x640,"21 persons, 2 potted plants,",266.8
0,384x640,"23 persons, 2 potted plants,",267.7
0,384x640,"19 persons, 2 potted plants,",279.3
0,384x640,"17 persons, 2 potted plants,",290.0
0,384x640,"22 persons, 1 potted plant,",268.8
0,384x640,"19 persons, 1 potted plant,",411.3
0,384x640,"19 persons, 2 potted plants,",438.6
0,384x640,"18 persons, 1 potted plant,",447.0
0,384x640,"24 persons, 1 potted plant,",429.7
0,384x640,"20 persons, 1 traffic light, 1 potted plant,",416.8
0,384x640,"20 persons, 1 traffic light, 1 potted plant,",451.7
0,384x640,"20 persons, 1 traffic light, 2 potted plants,",432.0
0,384x640,"19 persons, 1 traffic light,",399.6
0,384x640,"21 persons,",405.1
0,384x640,"19 persons,",431.8
0,384x640,"22 persons, 1 potted plant,",411.3
0,384x640,"21 persons,",392.9
0,384x640,"21 persons,",403.2
0,384x640,"21 persons,",402.0
0,384x640,"21 persons,",404.0
0,384x640,"21 persons,",408.2
0,384x640,"21 persons,",421.1
0,384x640,"18 persons,",440.6
0,384x640,"20 persons, 1 potted plant,",345.2
0,384x640,"19 persons, 1 potted plant,",267.9
0,384x640,"20 persons, 1 potted plant,",284.2
0,384x640,"19 persons,",261.0
0,384x640,"19 persons,",277.6
0,384x640,"21 persons, 2 potted plants,",283.5
0,384x640,"17 persons,",267.5
0,384x640,"17 persons,",266.5
0,384x640,"15 persons,",281.6
0,384x640,"18 persons,",277.4
0,384x640,"21 persons,",263.8
0,384x640,"21 persons,",273.7
0,384x640,"18 persons, 1 potted plant,",275.4
